game_id,bet_date,market_line,model_line,edge,home_team,away_team,home_score,away_score,actual_total,market_total,model_total,total_error,ou_win,ortg_r10_sum,pace_est_r10_sum,efg_r10_mean,ts_r10_mean,ftr_r10_mean,tov_pct_r10_mean,orb_pct_r10_mean,ortg_r30_sum,pace_est_r30_sum,efg_r30_mean,ts_r30_mean,ftr_r30_mean,tov_pct_r30_mean,orb_pct_r30_mean,rest_sum
18447299,2026-01-02,238.5,261.5,23.013765453445387,LAL,MEM,0,0,0.0,238.5,261.5,-261.5,False,226.00167421053442,209.584,0.560090567192961,0.5956996600037053,0.2748915703843463,0.1461948359097299,0.23166151247496053,230.4900434220952,205.56,0.5651136332715718,0.6007327873951521,0.2908989367028439,0.14591385851301494,0.25674550705842036,6
18447294,2026-01-02,235.5,238.8,3.255367735430013,CHI,ORL,0,0,0.0,235.5,238.8,-238.8,False,222.17826006693969,207.704,0.5296615837122636,0.5646572142003157,0.2544240880455672,0.12181822934095429,0.24009297457802442,220.6849013951625,207.20533333333333,0.5266015159195538,0.5619961431345029,0.2692287334666119,0.12795755030926154,0.2479600048196655,4
18447291,2026-01-02,225.5,227.6,2.114796862146619,WAS,BKN,0,0,0.0,225.5,227.6,-227.6,False,228.23373839406855,201.232,0.5544586678449802,0.5939869167039864,0.27831485026324077,0.1476339537521936,0.2585279345015862,220.73262893908532,200.73333333333335,0.5354337850766072,0.5718852813226143,0.261114414209547,0.14577071373591133,0.2578533591439616,3
18447292,2026-01-02,236.5,235.2,-1.322665067652082,CLE,DEN,0,0,0.0,236.5,235.2,-235.2,False,233.25972977108046,206.208,0.5426627153351516,0.5870755250720279,0.2967289481048008,0.11547605232836694,0.24934457893994122,239.50216542184737,205.96000000000004,0.574562319944118,0.6100318637016777,0.2530757848736843,0.11937066185901635,0.24354238224214503,4
18447293,2026-01-02,246.5,237.4,-9.10166478037064,NYK,ATL,0,0,0.0,246.5,237.4,-237.4,False,243.85457807252868,205.39999999999998,0.5787912039288119,0.6065320172451107,0.24795398620340187,0.1213165419476522,0.28776648427528473,235.0503734962416,207.5093333333333,0.5648833491610998,0.5958993435585438,0.23797310453538362,0.12934484771088656,0.2646031344148868,4
18447290,2026-01-02,236.5,239.8,3.255367735430013,IND,SAS,0,0,0.0,236.5,239.8,-239.8,False,219.35926154373362,206.11200000000002,0.5127313282565408,0.5581948364775557,0.31123301443135765,0.12581548119972785,0.2344435089747156,226.41667591216742,204.18400000000003,0.5362184270866464,0.5741874088634115,0.28271585933417515,0.12420752985987431,0.24244080562418602,4
18447295,2026-01-02,233.5,226.4,-7.104026183941528,MIL,CHA,0,0,0.0,233.5,226.4,-226.4,False,229.77919666743645,200.272,0.5655775338783375,0.5923855855440847,0.22049794166418454,0.13361227155827854,0.2486749209883337,225.01636605611685,201.10933333333327,0.556186976208992,0.5884195085180749,0.25552367889586625,0.1440047914694531,0.24070979745778076,4
18447296,2026-01-02,243.5,245.7,2.2152455064712058,NOP,POR,0,0,0.0,243.5,245.7,-245.7,False,227.0773367301393,212.12,0.5315137137275987,0.5698582157316827,0.2556363917376716,0.13976600831119326,0.3051754124586762,223.7175353260361,210.42133333333334,0.531030398427569,0.57446308429796,0.3100220621822857,0.14102153943515983,0.26624212826388727,4
18447297,2026-01-02,227.5,224.8,-2.687295289557113,PHX,SAC,0,0,0.0,227.5,224.8,-224.8,False,209.3709498886211,203.704,0.5080617946167756,0.5395422393106404,0.2067353794209673,0.15441609658362399,0.2612089299940811,218.06352716831668,203.91199999999998,0.5196568529126393,0.5524128526608499,0.2382815536567104,0.13788415441709256,0.2739258911580026,3
18447298,2026-01-02,228.5,222.1,-6.447378060138618,GSW,OKC,0,0,0.0,228.5,222.1,-222.1,False,241.03108795162774,211.144,0.5997452387176869,0.6387971856612469,0.268372348996799,0.14308133964522315,0.22929439041277594,231.9049789843885,204.89333333333337,0.5635484300195459,0.5993013914098955,0.24680108711293008,0.13140203920738425,0.23964819939879328,4
18447289,2026-01-01,232.5,227.8,-4.675540872370533,LAC,UTA,118,101,219.0,232.5,227.8,-8.800000000000011,False,233.93106424126137,202.51999999999998,0.5674981563363353,0.6101047904085236,0.31288665533655174,0.1362717867349813,0.22756735620327956,226.44951954768766,205.3826666666667,0.5434836669613317,0.5896079575622046,0.3063110934586891,0.1441012061196211,0.2477449035920733,4
18447288,2026-01-01,229.5,216.3,-13.179011879179114,SAC,BOS,106,120,226.0,229.5,216.3,9.699999999999989,False,225.42136571070978,201.528,0.5384014631559016,0.5743437664134516,0.2621796897911405,0.1385814663050709,0.27704814359552987,227.3028767784116,201.42133333333334,0.5406424300342845,0.5732163067300485,0.244337910180992,0.12495213965600518,0.26274789194336784,4
18447287,2026-01-01,230.5,227.9,-2.630799398669865,DAL,PHI,108,123,231.0,230.5,227.9,3.0999999999999943,True,225.0780911736361,207.92399999999998,0.5238040239124104,0.5683286123486203,0.2868703470618224,0.12366959879298844,0.25942418315599713,221.29451821800552,208.87466666666666,0.5270292084876627,0.5677683471568475,0.2814484519077384,0.13523820243823065,0.25195287709674374,5
18447286,2026-01-01,236.5,253.0,16.50089285829901,DET,MIA,112,118,230.0,236.5,253.0,-23.0,False,229.46266716401638,206.832,0.5388504610785303,0.5728055605559965,0.27639946068898047,0.12653536432261142,0.2983864929907901,228.7823497303404,209.63866666666667,0.5460434308634206,0.5821019136805311,0.292910057233124,0.1328516202254567,0.2728653101627754,5
