game_id,bet_date,market_line,model_line,edge,home_team,away_team,home_score,away_score,actual_margin,market_spread_home,model_spread_home,predicted_margin,spread_error,ats_win,ortg_r10_delta,netrtg_r10_delta,pace_est_r10_delta,efg_r10_delta,ts_r10_delta,ftr_r10_delta,tov_pct_r10_delta,orb_pct_r10_delta,ortg_r30_delta,netrtg_r30_delta,pace_est_r30_delta,efg_r30_delta,ts_r30_delta,ftr_r30_delta,tov_pct_r30_delta,orb_pct_r30_delta,drtg_blend_delta,rest_diff,home_indicator
18447289,2026-01-01,LAC -12.5,LAC -14.1,-1.6280560212407718,LAC,UTA,0,0,0.0,-12.5,-14.1,14.1,-14.1,False,1.6346541680526343,13.359922495064874,-12.63199999999999,0.012212098869870958,0.018796628520785896,0.013541009285515715,0.010879108665750814,0.0025503689483329095,0.6421623641109022,6.22203792813864,-8.118666666666655,0.013795638938188026,0.014569669460846812,-0.02015515636228321,-0.0008818585792895739,-0.036484280826582394,-7.423493392923092,0,1
18447288,2026-01-01,SAC +9.5,SAC +9.2,-0.3056833677440345,SAC,BOS,0,0,0.0,9.5,9.2,-9.2,9.2,True,-12.891789801624881,-18.4330126644073,4.072000000000003,-0.06819092584203479,-0.06047958839271195,0.03724704328525061,0.025139280098305794,0.0076693799050193134,-12.8283528563406,-19.245223428559616,5.08533333333331,-0.04547609627673721,-0.037392375510195475,0.04686617543655058,0.019988013972833993,-0.06385704487702712,6.154176259388009,0,1
18447287,2026-01-01,DAL +1.5,DAL +2.4,0.9491988734354684,DAL,PHI,0,0,0.0,1.5,2.4,-2.4,2.4,True,0.8070781243722251,-1.0317357606117608,3.9720000000000084,0.06222152002613718,0.041953967429528616,-0.0420093463172434,0.022444729024796314,-0.055066866818681504,-2.921126732221339,-3.079737197356314,1.2373333333333534,0.013525309561125076,0.0043256954690908955,-0.004879892834826094,0.007705038685516308,-0.04835653273471008,0.662671491089668,1,1
18447286,2026-01-01,DET -4.5,DET -4.9,-0.4098632789554148,DET,MIA,0,0,0.0,-4.5,-4.9,4.9,-4.9,False,4.230236602201302,9.28543594067763,-0.1600000000000108,0.025074310935932376,0.020260205065991577,0.0418948237388061,0.01386936292495941,0.08075695060502769,2.521644080869919,4.233865266690353,-2.7559999999999576,0.011491445088658181,0.009607713362567827,0.048454063515351364,0.020257023856985815,0.07843524572414368,-2.7151146316172117,-1,1
18447285,2026-01-01,BKN +11.5,BKN +12.4,0.9498398945624248,BKN,HOU,0,0,0.0,11.5,12.4,-12.4,12.4,True,-7.888815345205799,5.226855388056045,0.5,-0.011488139939334063,-0.0008924674992489834,0.02033812324769102,0.0008409755321955037,-0.13794767745888067,-10.273342053808122,-13.312199028586685,-0.702666666666687,-0.025733599451088884,-0.020703854190043502,0.006216379184752596,8.280075047070734e-05,-0.1316983323088912,-1.8075013376335107,0,1
18447284,2025-12-31,OKC -29.5,OKC -31.0,-1.518199433327105,OKC,POR,124,95,29.0,-29.5,-31.0,31.0,-2.0,False,3.800605467394064,6.352994464300633,-1.7680000000000007,-0.006964098411024189,-0.008988315765136368,-0.11219760993060937,-0.05526115340496611,-0.03604190367763571,10.215696547941349,16.78431394750498,-2.869333333333344,0.04897995498698138,0.042889725251903155,-0.07818339963863669,-0.052780864592530494,-0.07318654148245013,-5.363748878766543,0,1
18447283,2025-12-31,MIL -3.5,MIL -5.7,-2.2345946656184204,MIL,WAS,113,114,-1.0,-3.5,-5.7,5.7,-6.7,False,-12.084716220740674,-11.407989865315887,-2.7039999999999935,-0.01508389237220098,-0.015707271315897997,0.011535284045790128,0.06435094016616182,-0.0502049302173036,-2.347711797473039,2.6231136933648855,-4.072000000000003,0.022415883512021173,0.01863937318575115,-0.0004384530906295092,0.022794291428217206,-0.053304152383741504,-3.68259575021402,0,1
18447282,2025-12-31,TOR +3.5,TOR +2.0,-1.4521481873206508,TOR,DEN,103,106,-3.0,3.5,2.0,-2.0,-1.0,True,-17.32473141385921,-5.4183980236208615,-3.1999999999999886,-0.08517851157935052,-0.09531297704016439,-0.11572680420829207,0.019368046082968604,0.026270419951710006,-19.674338554362237,-13.35106205242085,-1.0693333333333186,-0.0991902141733072,-0.10415413256898387,-0.07300743387090047,0.025788449064132787,0.036897518816130515,-7.998193568430494,0,1
18447281,2025-12-31,SAS -5.5,SAS -6.9,-1.3507534973425883,SAS,NYK,134,132,2.0,-5.5,-6.9,6.9,-4.9,False,0.6566709710544814,2.222973433485311,-3.0799999999999983,-0.015246194696329707,-0.011265211746158243,0.0330868502787349,-0.029186489775981192,-0.012926920980112389,-2.2697511695357946,-3.8720649474522064,3.3306666666666445,-0.012010591712075303,-0.007638726236705473,0.016834227270429325,-0.018436479323904797,-0.053661093789298175,0.6517289058122344,0,1
18447280,2025-12-31,CHI -14.5,CHI -12.5,2.023229943634444,CHI,NOP,134,118,16.0,-14.5,-12.5,12.5,3.5,True,6.09795835188217,5.5581249495616705,-2.3760000000000048,0.056325731127493395,0.03605832598462977,-0.05811591872726074,0.0010910541745751123,-0.01643345317119682,-1.7578922471336256,-1.9106676289476805,-2.077333333333357,0.020096923663843413,0.004484562004918091,-0.04117035954860776,0.019681393933602603,-0.005110964647977584,0.2688927879660099,0,1
