season,game_id,date_utc,actual_margin,actual_total,model_spread_home,model_total,spread_error,total_error,spread_correct
2026,18446819,2025-10-21T23:30:00Z,1.0,249.0,0.7892256507327378,257.0742656783544,1.7892256507327378,-8.07426567835438,0
2026,18446820,2025-10-22T02:00:00Z,-10.0,228.0,9.12011320192777,229.84428377141305,-0.8798867980722296,-1.8442837714130462,1
2026,18446821,2025-10-22T23:00:00Z,8.0,230.0,-7.7435405284881105,230.87786187855326,0.2564594715118895,-0.8778618785532615,1
2026,18446822,2025-10-23T01:30:00Z,-33.0,217.0,32.12011320192777,218.34337574570552,-0.8798867980722278,-1.343375745705515,1
2026,18446823,2025-10-22T23:00:00Z,19.0,253.0,-21.356190300639835,252.24005522762158,-2.3561903006398346,0.7599447723784181,1
2026,18446824,2025-10-22T23:00:00Z,4.0,246.0,-2.74354052848811,243.84057864980466,1.25645947151189,2.1594213501953448,1
2026,18446825,2025-10-22T23:30:00Z,-20.0,256.0,19.120113201927772,252.71716230649687,-0.8798867980722278,3.282837693503126,1
2026,18446826,2025-10-22T23:30:00Z,-1.0,233.0,0.7892256507327378,233.19680633203825,-0.21077434926726224,-0.19680633203824982,1
2026,18446827,2025-10-23T00:00:00Z,4.0,226.0,-3.74354052848811,226.1107978405039,0.25645947151188997,-0.11079784050389208,1
2026,18446828,2025-10-23T00:00:00Z,6.0,250.0,-5.7435405284881105,249.10925859553268,0.2564594715118895,0.8907414044673203,1
2026,18446829,2025-10-23T00:00:00Z,13.0,253.0,-13.356190300639835,253.0924969420287,-0.3561903006398346,-0.09249694202870273,1
2026,18446830,2025-10-23T01:00:00Z,21.0,237.0,-21.356190300639835,237.62467889557794,-0.3561903006398346,-0.6246788955779436,1
2026,18446831,2025-10-23T02:00:00Z,4.0,236.0,-4.7435405284881105,234.8321590236489,-0.7435405284881105,1.1678409763511013,1
2026,18446832,2025-10-23T02:00:00Z,-4.0,232.0,2.789225650732738,228.8312469176939,-1.210774349267262,3.1687530823060968,1
2026,18446833,2025-10-23T23:30:00Z,-6.0,276.0,4.1327707084194945,277.67699312068686,-1.8672292915805055,-1.6769931206868591,1
2026,18446834,2025-10-24T02:00:00Z,6.0,268.0,-6.8297376909561,264.4553748074343,-0.8297376909561001,3.544625192565718,1
2026,18446835,2025-10-24T23:30:00Z,10.0,200.0,-9.547499431724997,193.99391964709048,0.45250056827500273,6.006080352909521,1
2026,18446836,2025-10-25T02:00:00Z,18.0,238.0,-17.758029112394926,238.39800657878092,0.24197088760507413,-0.3980065787809224,1
2026,18446837,2025-10-24T23:00:00Z,-4.0,218.0,3.321499937016473,215.41141438531778,-0.6785000629835269,2.5885856146822164,1
2026,18446838,2025-10-24T23:30:00Z,-7.0,255.0,6.793182860127713,254.22011306597935,-0.20681713987228711,0.7798869340206522,1
2026,18446839,2025-10-24T22:30:00Z,-6.0,238.0,3.0216484157544414,239.51223736017008,-2.9783515842455586,-1.5122373601700758,1
2026,18446840,2025-10-25T00:00:00Z,-4.0,226.0,4.70335932625734,227.5452335146795,0.7033593262573401,-1.545233514679495,1
2026,18446841,2025-10-25T00:00:00Z,-32.0,260.0,31.83419234051991,258.17610652643276,-0.16580765948009102,1.8238934735672387,1
2026,18446842,2025-10-25T00:00:00Z,-4.0,236.0,3.0641014700617597,237.43419721810847,-0.9358985299382403,-1.4341972181084657,1
2026,18446843,2025-10-25T00:30:00Z,-10.0,224.0,9.918020897887688,224.27626620018862,-0.08197910211231196,-0.2762662001886156,1
2026,18446844,2025-10-25T02:00:00Z,20.0,258.0,-18.680994747323222,258.02324613457364,1.319005252676778,-0.023246134573639665,1
2026,18446845,2025-10-25T02:00:00Z,1.0,209.0,0.9089080032192369,214.88586524744446,1.908908003219237,-5.885865247444457,0
2026,18446846,2025-10-25T02:30:00Z,27.0,231.0,-27.104951587637046,231.65413562547948,-0.10495158763704637,-0.6541356254794835,1
2026,18446847,2025-10-25T23:00:00Z,-12.0,208.0,12.316515503636074,185.87457609999814,0.31651550363607406,22.125423900001863,1
2026,18446848,2025-10-25T23:30:00Z,-17.0,217.0,16.609346373281483,213.24509669828947,-0.39065362671851744,3.7549033017105273,1
2026,18446849,2025-10-25T23:30:00Z,4.0,246.0,-4.2730695740115205,244.40183797621745,-0.27306957401152054,1.5981620237825496,1
2026,18446850,2025-10-26T00:00:00Z,25.0,231.0,-24.500269449213288,229.55927581026575,0.4997305507867118,1.4407241897342544,1
2026,18446851,2025-10-26T01:00:00Z,22.0,244.0,-22.120805552683652,244.65274334570915,-0.12080555268365245,-0.6527433457091547,1
2026,18446852,2025-10-26T18:00:00Z,11.0,225.0,-12.705089897650163,225.81133278636267,-1.7050898976501632,-0.8113327863626694,1
2026,18446853,2025-10-26T19:30:00Z,6.0,232.0,-6.666547808217598,232.31630874751093,-0.6665478082175982,-0.31630874751093074,1
2026,18446854,2025-10-26T22:00:00Z,5.0,231.0,-4.4817049781162055,232.84310666656464,0.5182950218837945,-1.843106666564637,1
2026,18446855,2025-10-26T22:00:00Z,8.0,222.0,-9.512417553462983,223.06599859684948,-1.5124175534629831,-1.0659985968494823,1
2026,18446856,2025-10-26T22:00:00Z,-26.0,252.0,26.586855315815818,252.21174761165153,0.5868553158158178,-0.211747611651532,1
2026,18446857,2025-10-26T23:00:00Z,4.0,224.0,-3.894954698083869,220.82660788012095,0.10504530191613082,3.173392119879054,1
2026,18446858,2025-10-26T23:30:00Z,10.0,268.0,-10.646487701784128,267.62032141790854,-0.6464877017841282,0.3796785820914579,1
