PLAYER_NAME,TEAM_ABBREVIATION,METRIC_RAW,MIN_PER_GAME
Alec Burks,2TM,-2.3,18.363636363636363
Aleksej Pokusevski,2TM,-1.9,14.464285714285714
Bismack Biyombo,2TM,-3.4,19.775
Bojan Bogdanović,2TM,-3.2,25.92982456140351
Bruce Brown,2TM,-3.3,27.850746268656717
Buddy Hield,2TM,0.4,25.714285714285715
Cameron Payne,2TM,-1.1,16.71794871794872
Chimezie Metu,2TM,-1.3,16.84313725490196
Dalano Banton,2TM,-1.3,19.38888888888889
Daniel Gafford,2TM,2.6,24.527027027027028
Daniel Theis,2TM,-1.6,16.916666666666668
David Roddy,2TM,-5.0,18.107692307692307
Delon Wright,2TM,0.4,15.787234042553191
Dennis Schröder,2TM,-1.8,31.075
Doug McDermott,2TM,-3.4,14.125
Dāvis Bertāns,2TM,-1.4,15.674418604651162
Evan Fournier,2TM,-4.3,18.125
Gordon Hayward,2TM,-2.1,24.41176470588235
Grant Williams,2TM,-2.6,28.026315789473685
Immanuel Quickley,2TM,1.3,29.191176470588236
Jacob Gilyard,2TM,-1.4,17.048780487804876
Jaden Springer,2TM,-3.4,10.346938775510203
Jaylen Nowell,2TM,-5.4,16.46153846153846
Jordan Goodwin,2TM,-1.0,18.50877192982456
Jordan Nwora,2TM,-2.5,13.692307692307692
KJ Martin,2TM,-4.1,12.433333333333334
Keita Bates-Diop,2TM,-1.0,12.547169811320755
Kelly Olynyk,2TM,1.8,22.55128205128205
Kyle Lowry,2TM,-1.0,28.166666666666668
Lamar Stevens,2TM,-2.2,14.710526315789474
Marcus Morris,2TM,-3.8,16.6734693877551
Marvin Bagley III,2TM,-0.4,21.06
Monte Morris,2TM,0.7,14.424242424242424
Nicolas Batum,2TM,-0.4,25.483333333333334
OG Anunoby,2TM,-0.6,34.04
Ochai Agbaji,2TM,-4.4,21.03846153846154
P.J. Tucker,2TM,-3.6,15.67741935483871
P.J. Washington,2TM,-2.1,30.424657534246574
Pascal Siakam,2TM,1.9,33.2125
Patrick Beverley,2TM,-1.1,20.027397260273972
Patty Mills,2TM,-4.6,12.96875
Precious Achiuwa,2TM,-1.4,21.945945945945947
Quentin Grimes,2TM,-2.2,20.098039215686274
RJ Barrett,2TM,-0.8,31.689655172413794
Richaun Holmes,2TM,-3.3,13.875
Robert Covington,2TM,2.2,16.82758620689655
Royce O'Neale,2TM,0.0,24.734177215189874
Seth Curry,2TM,-3.3,14.0
Simone Fontecchio,2TM,-1.0,24.90909090909091
Skylar Mays,2TM,-2.0,11.394736842105264
Spencer Dinwiddie,2TM,-1.9,28.31578947368421
Taj Gibson,2TM,-5.3,10.2
Terry Rozier,2TM,1.5,33.442622950819676
Thaddeus Young,2TM,0.3,13.303030303030303
Théo Maledon,2TM,-10.3,12.529411764705882
Tosan Evbuomwan,2TM,-3.0,21.58823529411765
Tre Mann,2TM,-1.3,24.073170731707318
Trey Jemison,2TM,-5.1,22.92
Troy Brown Jr.,2TM,-2.6,14.016949152542374
Vasilije Micić,2TM,-4.6,19.6
Xavier Tillman Sr.,2TM,-1.2,18.037037037037038
Yuta Watanabe,2TM,-6.4,13.647058823529411
Danilo Gallinari,3TM,-1.9,12.857142857142858
Kira Lewis Jr.,3TM,-5.8,9.464285714285714
Malachi Flynn,3TM,-2.2,12.695652173913043
Mike Muscala,3TM,-5.3,11.320754716981131
Shake Milton,3TM,-3.7,12.104166666666666
Bogdan Bogdanović,ATL,0.2,30.39240506329114
Bruno Fernando,ATL,-2.3,15.155555555555555
Clint Capela,ATL,0.1,25.794520547945204
De'Andre Hunter,ATL,-2.4,29.49122807017544
Dejounte Murray,ATL,1.7,35.67948717948718
Garrison Mathews,ATL,-3.0,15.030303030303031
Jalen Johnson,ATL,1.2,33.732142857142854
Onyeka Okongwu,ATL,-0.4,25.545454545454547
Patty Mills,ATL,-3.8,10.631578947368421
Saddiq Bey,ATL,-1.8,32.73015873015873
Trae Young,ATL,2.6,35.96296296296296
Trent Forrest,ATL,-4.4,10.894736842105264
Vit Krejci,ATL,-3.7,24.59090909090909
Wesley Matthews,ATL,-2.8,11.472222222222221
Al Horford,BOS,3.6,26.76923076923077
Derrick White,BOS,3.8,32.61643835616438
Jaylen Brown,BOS,0.7,33.47142857142857
Jayson Tatum,BOS,5.1,35.74324324324324
Jrue Holiday,BOS,2.1,32.79710144927536
Kristaps Porziņģis,BOS,5.1,29.649122807017545
