PLAYER_NAME,TEAM_ABBREVIATION,METRIC_RAW,MIN_PER_GAME
AJ Johnson,2TM,-8.1,22.03448275862069
Alex Len,2TM,-2.6,8.26086956521739
Alex Reese,2TM,-1.2,14.4
Andrew Wiggins,2TM,0.9,30.7
Anthony Davis,2TM,5.4,33.450980392156865
Ben Simmons,2TM,-0.5,21.96078431372549
Bogdan Bogdanović,2TM,-2.0,24.962962962962962
Bones Hyland,2TM,2.7,9.958333333333334
Bruce Brown,2TM,-3.8,22.48780487804878
Caleb Martin,2TM,-3.2,27.066666666666666
Caris LeVert,2TM,0.9,24.9375
Cody Martin,2TM,-1.7,22.132075471698112
Colby Jones,2TM,-2.8,13.205128205128204
D'Angelo Russell,2TM,-0.4,25.517241379310345
Davion Mitchell,2TM,-2.6,27.39189189189189
De'Aaron Fox,2TM,0.4,36.145161290322584
De'Andre Hunter,2TM,0.4,27.1875
Delon Wright,2TM,-1.4,15.875
Dorian Finney-Smith,2TM,-1.0,28.857142857142858
Drew Eubanks,2TM,-0.7,12.229508196721312
Elfrid Payton,2TM,-6.4,21.291666666666668
Georges Niang,2TM,-2.3,21.481012658227847
JT Thor,2TM,-5.4,12.45
Jaden Springer,2TM,-2.7,8.488372093023257
Jake LaRavia,2TM,0.2,20.439393939393938
Jalen Hood-Schifino,2TM,-6.9,21.0
Jared Butler,2TM,-1.0,17.4
Jared Rhoden,2TM,-0.5,16.214285714285715
Javonte Green,2TM,-2.3,18.5
Jaylen Martin,2TM,-6.3,14.9375
Jericho Sims,2TM,-3.0,11.924528301886792
Jimmy Butler,2TM,4.9,31.745454545454546
Jonas Valančiūnas,2TM,0.6,18.814814814814813
Jordan McLaughlin,2TM,-1.6,6.826086956521739
Josh Okogie,2TM,1.5,15.625
Jusuf Nurkić,2TM,-1.3,20.84313725490196
KJ Martin,2TM,-3.6,21.209302325581394
Kai Jones,2TM,2.9,11.7
Kelly Olynyk,2TM,-0.7,20.25
Kevin Huerter,2TM,-2.0,24.333333333333332
Kevin Porter Jr.,2TM,-0.6,19.76
Khris Middleton,2TM,0.7,22.783783783783782
Kyle Anderson,2TM,1.5,16.42622950819672
Kyle Kuzma,2TM,-4.9,29.784615384615385
Lindy Waters III,2TM,-2.8,14.961538461538462
Luka Dončić,2TM,6.7,35.38
Marcus Smart,2TM,-1.5,20.0
Marvin Bagley III,2TM,-1.2,8.548387096774194
Max Christie,2TM,-2.5,27.26923076923077
Maxwell Lewis,2TM,-4.4,11.678571428571429
Mo Bamba,2TM,-0.9,12.90625
Nick Richards,2TM,-3.3,22.035087719298247
Orlando Robinson,2TM,-3.4,17.5
Patty Mills,2TM,-3.2,11.068965517241379
Quentin Grimes,2TM,0.4,26.84
Reece Beekman,2TM,-5.4,13.027777777777779
Shake Milton,2TM,-2.2,14.68421052631579
Terance Mann,2TM,-1.3,21.104477611940297
Thomas Bryant,2TM,0.6,14.590909090909092
Torrey Craig,2TM,-0.9,12.076923076923077
Tre Jones,2TM,1.5,19.67391304347826
Trey Jemison,2TM,-6.8,10.31578947368421
Vasilije Micić,2TM,-7.0,19.146341463414632
Wendell Moore Jr.,2TM,-2.7,13.86111111111111
Zach Collins,2TM,0.0,15.265625
Zach LaVine,2TM,0.7,35.16216216216216
Colin Castleton,3TM,-5.0,16.615384615384617
David Roddy,3TM,-1.5,12.424242424242424
Dennis Schröder,3TM,-2.2,28.066666666666666
Bogdan Bogdanović,ATL,-4.7,24.916666666666668
Caris LeVert,ATL,0.4,26.615384615384617
Clint Capela,ATL,-1.0,21.381818181818183
David Roddy,ATL,-1.2,12.814814814814815
De'Andre Hunter,ATL,-0.4,28.756756756756758
Dominick Barlow,ATL,-2.2,10.714285714285714
Dyson Daniels,ATL,1.5,33.828947368421055
Garrison Mathews,ATL,-1.6,17.659574468085108
Georges Niang,ATL,-3.1,23.0
Jalen Johnson,ATL,1.8,35.666666666666664
Keaton Wallace,ATL,-2.3,16.161290322580644
Larry Nance Jr.,ATL,1.8,19.291666666666668
