date,game_id,pred_margin,pred_total,actual_margin,actual_total,closing_spread_home,closing_total,edge_spread,edge_total,signal_spread,signal_total,mae_margin_day,mae_total_day
2025-11-01,18446899,-8.996913912104445,266.3162951940029,-2,268,3.5,268.5,-12.496913912104445,-2.1837048059970745,True,True,15.55237185289152,1.7419394194577695
2025-11-01,18446900,-14.891152342834449,222.6765860550849,-17,227,16.5,223.5,-31.39115234283445,-0.8234139449150897,True,False,15.55237185289152,1.7419394194577695
2025-11-01,18446901,-0.9389838100981249,223.5163103810175,5,223,-4.5,223.5,3.561016189901875,0.016310381017480606,True,False,15.55237185289152,1.7419394194577695
2025-11-01,18446902,4.82073280928002,218.70245954631366,-31,219,31.5,217.5,-26.67926719071998,1.202459546313648,True,True,15.55237185289152,1.7419394194577695
2025-11-01,18446903,-1.8568992414401961,230.28564352565255,-27,229,26.5,231.5,-28.356899241440196,-1.2143564743474553,True,True,15.55237185289152,1.7419394194577695
2025-11-01,18446904,29.30565217014118,234.34502340547806,12,232,-11.5,236.5,40.80565217014118,-2.1549765945219375,True,True,15.55237185289152,1.7419394194577695
2025-11-02,18446905,9.394120225745176,242.13126888557127,31,243,-30.5,243.5,39.894120225745176,-1.368731114428728,True,True,12.568870769782091,2.087268118919969
2025-11-02,18446906,-8.940748571496059,233.4482216881617,-24,234,23.5,234.5,-32.44074857149606,-1.0517783118382769,True,True,12.568870769782091,2.087268118919969
2025-11-02,18446907,10.05193798978111,230.19199973061345,23,229,-24.5,229.5,34.55193798978111,0.6919997306134357,True,False,12.568870769782091,2.087268118919969
2025-11-02,18446908,15.858445568608005,224.0947474375153,8,226,-8.5,225.5,24.358445568608005,-1.4052525624846952,True,True,12.568870769782091,2.087268118919969
2025-11-02,18446909,23.903815306627713,225.5746680297276,13,221,-13.5,225.5,37.40381530662771,0.07466802972760776,True,False,12.568870769782091,2.087268118919969
2025-11-02,18446910,23.908287437752698,242.71166808878965,12,244,-14.5,245.5,38.4082874377527,-2.788331911210347,True,True,12.568870769782091,2.087268118919969
2025-11-02,18446911,30.52601005723148,249.47424525642342,12,248,-12.5,248.5,43.02601005723148,0.9742452564234183,True,False,12.568870769782091,2.087268118919969
2025-11-02,18446912,11.741214575059164,245.15686196536677,10,250,-10.5,247.5,22.241214575059164,-2.3431380346332316,True,True,12.568870769782091,2.087268118919969
2025-11-03,18446913,-25.414791193089478,234.11360090703565,-16,234,16.5,235.5,-41.91479119308948,-1.3863990929643577,True,True,5.964250166896319,1.882845421617355
2025-11-03,18446914,-0.6343511683495313,232.30900339655076,-2,232,2.5,232.5,-3.1343511683495313,-0.19099660344924188,True,False,5.964250166896319,1.882845421617355
2025-11-03,18446915,-2.4964010127858844,214.28280784093147,-2,208,1.5,215.5,-3.9964010127858844,-1.2171921590685444,True,True,5.964250166896319,1.882845421617355
2025-11-03,18446916,25.129575236812833,220.96947688134662,17,221,-17.5,223.5,42.62957523681283,-2.5305231186533863,True,True,5.964250166896319,1.882845421617355
2025-11-03,18446917,6.424519322897757,211.4219291169903,8,212,-5.5,214.5,11.924519322897757,-3.0780708830096977,True,True,5.964250166896319,1.882845421617355
2025-11-03,18446918,0.7562440516207989,221.75163904536166,-8,220,6.5,221.5,-5.743755948379201,0.25163904536166176,True,False,5.964250166896319,1.882845421617355
