season,game_id,date_utc,home_team_id,away_team_id,higher_team_id,winner_team_id,higher_is_home,winner_is_home,rating_gap,snapshot_as_of_utc
2025,15907561,2024-11-09T00:00:00Z,CHA,IND,IND,CHA,0,1,9.493897879294927,2024-11-09T00:00:00Z
2025,15907566,2024-11-09T00:30:00Z,NYK,MIL,MIL,NYK,0,1,0.43042445127313966,2024-11-09T00:00:00Z
2025,15907574,2024-11-09T22:00:00Z,SAS,UTA,SAS,UTA,1,0,2.86134295661576,2024-11-09T00:00:00Z
2025,15907582,2024-11-11T00:00:00Z,PHI,CHA,CHA,PHI,0,1,0.5109316567842495,2024-11-11T00:00:00Z
2025,15907583,2024-11-11T00:00:00Z,MIN,MIA,MIN,MIA,1,0,3.2816760878225457,2024-11-11T00:00:00Z
2025,15907584,2024-11-11T00:00:00Z,OKC,GSW,OKC,GSW,1,0,4.87766793403097,2024-11-11T00:00:00Z
2025,15907593,2024-11-12T01:00:00Z,SAS,SAC,SAC,SAS,0,1,0.903022416914329,2024-11-12T00:00:00Z
2025,15907594,2024-11-13T00:00:00Z,BOS,ATL,BOS,ATL,1,0,6.628050540979298,2024-11-13T00:00:00Z
2025,15907595,2024-11-13T00:00:00Z,DET,MIA,MIA,DET,0,1,1.0551749631961265,2024-11-13T00:00:00Z
2025,15907601,2024-11-13T03:00:00Z,POR,MIN,MIN,POR,0,1,5.987004464953071,2024-11-13T00:00:00Z
2025,15907602,2024-11-14T00:00:00Z,ORL,IND,IND,ORL,0,1,3.572419036785434,2024-11-14T00:00:00Z
2025,15907604,2024-11-14T00:30:00Z,NYK,CHI,NYK,CHI,1,0,1.5075220499598536,2024-11-14T00:00:00Z
2025,15907607,2024-11-14T01:00:00Z,HOU,LAC,LAC,HOU,0,1,1.8837288029825372,2024-11-14T00:00:00Z
2025,15907611,2024-11-14T03:00:00Z,POR,MIN,MIN,POR,0,1,5.5033214812700875,2024-11-14T00:00:00Z
2025,15907613,2024-11-15T02:00:00Z,UTA,DAL,DAL,UTA,0,1,1.0877553007889578,2024-11-15T00:00:00Z
2025,15907614,2024-11-16T00:00:00Z,IND,MIA,IND,MIA,1,0,2.911700378738395,2024-11-16T00:00:00Z
2025,15907621,2024-11-16T01:00:00Z,HOU,LAC,LAC,HOU,0,1,1.563215982469717,2024-11-16T00:00:00Z
2025,15907622,2024-11-16T01:00:00Z,NOP,DEN,DEN,NOP,0,1,11.92072026821802,2024-11-16T00:00:00Z
2025,15907626,2024-11-16T20:00:00Z,CHA,MIL,MIL,CHA,0,1,8.545030629010865,2024-11-16T00:00:00Z
2025,15907629,2024-11-17T01:30:00Z,DAL,SAS,SAS,DAL,0,1,0.731227238466384,2024-11-17T00:00:00Z
2025,15907635,2024-11-17T23:00:00Z,MEM,DEN,DEN,MEM,0,1,7.1898294217103995,2024-11-17T00:00:00Z
2025,15907636,2024-11-17T23:00:00Z,POR,ATL,ATL,POR,0,1,1.3319114604575457,2024-11-17T00:00:00Z
2025,15907639,2024-11-18T00:00:00Z,OKC,DAL,OKC,DAL,1,0,9.29517716374819,2024-11-18T00:00:00Z
2025,15907644,2024-11-19T00:30:00Z,TOR,IND,IND,TOR,0,1,6.710655769548161,2024-11-19T00:00:00Z
2025,15907649,2024-11-20T00:00:00Z,BOS,CLE,CLE,BOS,0,1,0.9639633840687729,2024-11-20T00:00:00Z
2025,15907653,2024-11-20T02:30:00Z,SAS,OKC,OKC,SAS,0,1,8.303876665208549,2024-11-20T00:00:00Z
2025,15907657,2024-11-21T01:00:00Z,HOU,IND,IND,HOU,0,1,2.9042691481143277,2024-11-21T00:00:00Z
2025,15907663,2024-11-22T00:00:00Z,CHA,DET,DET,CHA,0,1,5.313118794044898,2024-11-22T00:00:00Z
2025,15907664,2024-11-22T00:30:00Z,TOR,MIN,MIN,TOR,0,1,6.3872692852701185,2024-11-22T00:00:00Z
2025,15907666,2024-11-22T03:30:00Z,LAL,ORL,LAL,ORL,1,0,3.335018422827602,2024-11-22T00:00:00Z
2025,15907667,2024-11-23T00:00:00Z,PHI,BKN,BKN,PHI,0,1,3.244120939495769,2024-11-23T00:00:00Z
2025,15907669,2024-11-23T01:00:00Z,MIL,IND,IND,MIL,0,1,0.48485209876890956,2024-11-23T00:00:00Z
2025,15907673,2024-11-23T03:00:00Z,DEN,DAL,DEN,DAL,1,0,7.181617990763863,2024-11-23T00:00:00Z
2025,15907675,2024-11-23T22:00:00Z,UTA,NYK,NYK,UTA,0,1,6.593927056922436,2024-11-23T00:00:00Z
2025,15907677,2024-11-24T01:00:00Z,CHI,MEM,CHI,MEM,1,0,1.474352387699646,2024-11-24T00:00:00Z
2025,15907678,2024-11-24T01:00:00Z,HOU,POR,HOU,POR,1,0,2.4563350682418186,2024-11-24T00:00:00Z
2025,15907680,2024-11-24T01:30:00Z,SAS,GSW,GSW,SAS,0,1,3.1958165743148323,2024-11-24T00:00:00Z
2025,15907687,2024-11-25T02:00:00Z,SAC,BKN,SAC,BKN,1,0,1.5429425556623801,2024-11-25T00:00:00Z
2025,15907691,2024-11-26T00:30:00Z,ATL,DAL,ATL,DAL,1,0,1.432902494835636,2024-11-26T00:00:00Z
