date,season,rank,team,rating
2025-12-02,2026,1,HOU,10.395746273877615
2025-12-02,2026,2,OKC,10.309434265189095
2025-12-02,2026,3,SAS,7.553978322942259
2025-12-02,2026,4,ORL,6.615853747461685
2025-12-02,2026,5,DEN,6.502192068691193
2025-12-02,2026,6,NYK,6.234972485562468
2025-12-02,2026,7,CLE,5.425150425414511
2025-12-02,2026,8,MIA,5.352586838912264
2025-12-02,2026,9,TOR,4.488879770229674
2025-12-02,2026,10,PHX,3.690072763659651
2025-12-02,2026,11,DET,3.6237744565005228
2025-12-02,2026,12,LAL,3.4253452659023607
2025-12-02,2026,13,BOS,2.6125813900979016
2025-12-02,2026,14,MIN,2.5529107548221397
2025-12-02,2026,15,GSW,0.9793708385964414
2025-12-02,2026,16,ATL,-0.5673892727121698
2025-12-02,2026,17,LAC,-0.6451088051056387
2025-12-02,2026,18,POR,-1.3259388997960275
2025-12-02,2026,19,PHI,-1.607580445401079
2025-12-02,2026,20,MEM,-2.689393881663554
2025-12-02,2026,21,MIL,-2.8707111926036735
2025-12-02,2026,22,CHI,-3.7663055690966956
2025-12-02,2026,23,NOP,-5.539029226560419
2025-12-02,2026,24,BKN,-6.066432214087493
2025-12-02,2026,25,UTA,-7.296077987129421
2025-12-02,2026,26,CHA,-7.87668186867201
2025-12-02,2026,27,DAL,-7.912985385682589
2025-12-02,2026,28,SAC,-8.655395547436411
2025-12-02,2026,29,IND,-9.381607965484477
2025-12-02,2026,30,WAS,-13.562211406428123
