date,season,rank,team,rating
2025-12-10,2026,1,OKC,11.624235160129953
2025-12-10,2026,2,HOU,8.50225755831122
2025-12-10,2026,3,SAS,7.097760745793603
2025-12-10,2026,4,NYK,6.995014135020961
2025-12-10,2026,5,DEN,6.474693459935987
2025-12-10,2026,6,ORL,5.831210919165689
2025-12-10,2026,7,BOS,4.950243189617738
2025-12-10,2026,8,GSW,4.474745658319139
2025-12-10,2026,9,CLE,4.210286693934934
2025-12-10,2026,10,LAL,4.179736621617576
2025-12-10,2026,11,PHX,3.4935591935509276
2025-12-10,2026,12,MIA,3.366730115274352
2025-12-10,2026,13,MIN,3.310883273008936
2025-12-10,2026,14,TOR,2.004216631888102
2025-12-10,2026,15,DET,1.5899513142797932
2025-12-10,2026,16,LAC,-0.1156768496048099
2025-12-10,2026,17,POR,-1.1945657869013038
2025-12-10,2026,18,MIL,-1.481354400106822
2025-12-10,2026,19,PHI,-1.7542983576613582
2025-12-10,2026,20,MEM,-2.136665072095453
2025-12-10,2026,21,ATL,-2.450013487371698
2025-12-10,2026,22,BKN,-3.847028459634093
2025-12-10,2026,23,DAL,-4.890536793616856
2025-12-10,2026,24,CHA,-6.040037598901301
2025-12-10,2026,25,CHI,-7.177952355908245
2025-12-10,2026,26,SAC,-7.2161747803666145
2025-12-10,2026,27,UTA,-7.238814552317934
2025-12-10,2026,28,NOP,-8.416571904667714
2025-12-10,2026,29,IND,-9.580275210020325
2025-12-10,2026,30,WAS,-14.565559060674383
