date,season,rank,team,rating
2025-12-27,2026,1,DEN,13.579992204202528
2025-12-27,2026,2,OKC,12.265560348130846
2025-12-27,2026,3,HOU,8.11378158671753
2025-12-27,2026,4,NYK,6.747026117349237
2025-12-27,2026,5,SAS,5.895280630283264
2025-12-27,2026,6,LAL,5.072750469890898
2025-12-27,2026,7,ORL,4.875689256342378
2025-12-27,2026,8,CLE,4.68385694827478
2025-12-27,2026,9,BOS,4.33672415394913
2025-12-27,2026,10,MIN,3.4331074647042192
2025-12-27,2026,11,PHX,2.6862815999494463
2025-12-27,2026,12,MIA,2.272371198120356
2025-12-27,2026,13,TOR,2.268184588768476
2025-12-27,2026,14,DET,1.7994161143198488
2025-12-27,2026,15,GSW,1.2690852752533708
2025-12-27,2026,16,PHI,-0.2306798908302428
2025-12-27,2026,17,POR,-0.8750557464814607
2025-12-27,2026,18,MEM,-1.4072093874378842
2025-12-27,2026,19,LAC,-1.464738204551416
2025-12-27,2026,20,ATL,-1.498537955267275
2025-12-27,2026,21,MIL,-2.85889272932946
2025-12-27,2026,22,DAL,-5.563822432530141
2025-12-27,2026,23,NOP,-5.627771866321349
2025-12-27,2026,24,CHA,-5.8315405499868715
2025-12-27,2026,25,CHI,-6.555974377501337
2025-12-27,2026,26,SAC,-7.551815921406763
2025-12-27,2026,27,BKN,-7.553339975083932
2025-12-27,2026,28,UTA,-7.869341330305823
2025-12-27,2026,29,IND,-9.309340365237542
2025-12-27,2026,30,WAS,-15.101047223984809
