date,season,rank,team,rating
2025-12-28,2026,1,DEN,13.746461731194676
2025-12-28,2026,2,OKC,11.193193101189179
2025-12-28,2026,3,HOU,7.910658313661194
2025-12-28,2026,4,SAS,6.551463209950929
2025-12-28,2026,5,NYK,5.973738409954462
2025-12-28,2026,6,BOS,4.726709351647724
2025-12-28,2026,7,CLE,4.575141855518737
2025-12-28,2026,8,LAL,4.213360743436901
2025-12-28,2026,9,ORL,3.806640146891001
2025-12-28,2026,10,MIN,3.2932568298380906
2025-12-28,2026,11,PHX,3.0545930072704928
2025-12-28,2026,12,DET,1.9526498404624602
2025-12-28,2026,13,MIA,1.9003586570241082
2025-12-28,2026,14,TOR,1.5995022929913951
2025-12-28,2026,15,GSW,1.5712822279228134
2025-12-28,2026,16,PHI,-0.15730244958710154
2025-12-28,2026,17,LAC,-0.46169327833800805
2025-12-28,2026,18,MEM,-1.2900933325536337
2025-12-28,2026,19,POR,-1.3763023642293697
2025-12-28,2026,20,ATL,-2.3062570529570317
2025-12-28,2026,21,MIL,-2.5791977004242033
2025-12-28,2026,22,NOP,-5.3174066388634085
2025-12-28,2026,23,CHA,-5.576968557619427
2025-12-28,2026,24,DAL,-5.858501487412119
2025-12-28,2026,25,CHI,-5.909931944670496
2025-12-28,2026,26,BKN,-6.325979500298793
2025-12-28,2026,27,SAC,-7.256270350929293
2025-12-28,2026,28,UTA,-7.52727060480013
2025-12-28,2026,29,IND,-10.007642268962279
2025-12-28,2026,30,WAS,-14.118192187308864
