date,season,rank,team,rating
2025-12-17,2026,1,DEN,13.2367499952591
2025-12-17,2026,2,OKC,12.160235000121817
2025-12-17,2026,3,HOU,8.59032977944806
2025-12-17,2026,4,NYK,7.023225017285292
2025-12-17,2026,5,SAS,5.756721381312305
2025-12-17,2026,6,ORL,5.191809855940839
2025-12-17,2026,7,CLE,5.093856376136683
2025-12-17,2026,8,LAL,4.909144352169102
2025-12-17,2026,9,BOS,4.472751476268938
2025-12-17,2026,10,MIN,3.5862673686730555
2025-12-17,2026,11,PHX,2.6510353592366718
2025-12-17,2026,12,MIA,2.278216860937154
2025-12-17,2026,13,TOR,2.257674027406143
2025-12-17,2026,14,DET,2.00568349143777
2025-12-17,2026,15,GSW,1.1823784659571237
2025-12-17,2026,16,PHI,-0.14914407298404642
2025-12-17,2026,17,POR,-0.7691460844359348
2025-12-17,2026,18,ATL,-1.3261611995430016
2025-12-17,2026,19,LAC,-1.448910227729554
2025-12-17,2026,20,MEM,-1.7193472475010794
2025-12-17,2026,21,MIL,-2.7179165090600037
2025-12-17,2026,22,DAL,-5.719156941955985
2025-12-17,2026,23,CHA,-5.9874750763467555
2025-12-17,2026,24,NOP,-6.130749056188679
2025-12-17,2026,25,CHI,-6.939264247635812
2025-12-17,2026,26,BKN,-7.46542322916641
2025-12-17,2026,27,UTA,-7.742160449901317
2025-12-17,2026,28,SAC,-7.769146096719991
2025-12-17,2026,29,IND,-9.555952084631496
2025-12-17,2026,30,WAS,-14.956126283789994
