date,season,rank,team,rating
2025-12-29,2026,1,DEN,13.693229614564165
2025-12-29,2026,2,OKC,11.358845573486043
2025-12-29,2026,3,HOU,7.904443925366884
2025-12-29,2026,4,SAS,6.560838302955232
2025-12-29,2026,5,NYK,5.977437963781626
2025-12-29,2026,6,BOS,4.673796801732749
2025-12-29,2026,7,CLE,4.584221801755772
2025-12-29,2026,8,LAL,4.56988818434993
2025-12-29,2026,9,ORL,3.7721087443076753
2025-12-29,2026,10,MIN,3.289353379329589
2025-12-29,2026,11,PHX,3.0638512492689656
2025-12-29,2026,12,MIA,1.8994655058018621
2025-12-29,2026,13,TOR,1.8611606446750262
2025-12-29,2026,14,DET,1.7889352751967664
2025-12-29,2026,15,GSW,1.320606616968437
2025-12-29,2026,16,LAC,-0.3099215248554535
2025-12-29,2026,17,PHI,-0.3416981787068509
2025-12-29,2026,18,POR,-1.3133769209908814
2025-12-29,2026,19,MEM,-1.329319198771976
2025-12-29,2026,20,ATL,-2.2943552185722313
2025-12-29,2026,21,MIL,-2.5889600699871727
2025-12-29,2026,22,NOP,-5.29542769594177
2025-12-29,2026,23,CHA,-5.536366000418726
2025-12-29,2026,24,DAL,-5.832403293146834
2025-12-29,2026,25,CHI,-5.9503396462479365
2025-12-29,2026,26,BKN,-6.325659872764485
2025-12-29,2026,27,UTA,-7.5211125810107475
2025-12-29,2026,28,SAC,-7.5800539890803424
2025-12-29,2026,29,IND,-10.030994780746688
2025-12-29,2026,30,WAS,-14.068194612298631
