date,season,rank,team,rating
2025-12-16,2026,1,DEN,12.664282666206272
2025-12-16,2026,2,OKC,11.504996342169083
2025-12-16,2026,3,NYK,10.53388201014407
2025-12-16,2026,4,SAS,9.47266954498302
2025-12-16,2026,5,HOU,8.94410583060645
2025-12-16,2026,6,ORL,7.303020354496454
2025-12-16,2026,7,BOS,7.098053742822493
2025-12-16,2026,8,CLE,6.093012981605031
2025-12-16,2026,9,MIN,5.873998546447881
2025-12-16,2026,10,DET,5.176053817202475
2025-12-16,2026,11,MIA,5.084621000847199
2025-12-16,2026,12,LAL,4.992548788027347
2025-12-16,2026,13,PHX,3.8854810738629513
2025-12-16,2026,14,TOR,2.6083746914033457
2025-12-16,2026,15,GSW,1.0385768330821983
2025-12-16,2026,16,PHI,-0.7890201785571753
2025-12-16,2026,17,POR,-1.1090829824283714
2025-12-16,2026,18,ATL,-1.620200411627879
2025-12-16,2026,19,LAC,-2.3142402377361617
2025-12-16,2026,20,MEM,-2.416778992566203
2025-12-16,2026,21,MIL,-3.983850929134007
2025-12-16,2026,22,CHA,-5.811449689495201
2025-12-16,2026,23,DAL,-6.764737638866316
2025-12-16,2026,24,BKN,-7.147070071664649
2025-12-16,2026,25,CHI,-7.939404479314104
2025-12-16,2026,26,UTA,-8.519672390695689
2025-12-16,2026,27,SAC,-10.817194491230827
2025-12-16,2026,28,NOP,-11.642370245405637
2025-12-16,2026,29,IND,-12.283645726481108
2025-12-16,2026,30,WAS,-19.11495975870294
