date,season,rank,team,rating
2026-01-02,2026,1,DEN,13.319694773228365
2026-01-02,2026,2,OKC,11.319730575948874
2026-01-02,2026,3,HOU,7.781301196849816
2026-01-02,2026,4,SAS,6.113363773078033
2026-01-02,2026,5,NYK,5.898363929004665
2026-01-02,2026,6,CLE,5.309526131262056
2026-01-02,2026,7,BOS,4.705076080468634
2026-01-02,2026,8,LAL,4.104276568812197
2026-01-02,2026,9,ORL,3.7006930975009524
2026-01-02,2026,10,MIN,3.14482728338985
2026-01-02,2026,11,PHX,2.7598262182359043
2026-01-02,2026,12,MIA,2.3996244874384502
2026-01-02,2026,13,TOR,1.9496441689236967
2026-01-02,2026,14,DET,1.9322939016315586
2026-01-02,2026,15,GSW,1.4092592396632297
2026-01-02,2026,16,LAC,0.5638631510501633
2026-01-02,2026,17,PHI,0.20116382194075796
2026-01-02,2026,18,POR,-1.4320910922024765
2026-01-02,2026,19,MEM,-1.6175982548164693
2026-01-02,2026,20,ATL,-1.6954815760847535
2026-01-02,2026,21,MIL,-2.518246917538828
2026-01-02,2026,22,NOP,-5.471995940409854
2026-01-02,2026,23,CHA,-5.676671132199508
2026-01-02,2026,24,DAL,-6.062433921754496
2026-01-02,2026,25,CHI,-6.193992424315845
2026-01-02,2026,26,BKN,-6.562179797706002
2026-01-02,2026,27,UTA,-7.843646300719486
2026-01-02,2026,28,SAC,-8.251207863320534
2026-01-02,2026,29,IND,-9.666101089139076
2026-01-02,2026,30,WAS,-13.620882088219872
