date,season,rank,team,rating
2025-12-02,2024,1,BOS,10.681486331660487
2025-12-02,2024,2,OKC,9.063610747247115
2025-12-02,2024,3,DEN,5.713426598689302
2025-12-02,2024,4,NYK,5.2831056472316105
2025-12-02,2024,5,PHI,5.161115140762282
2025-12-02,2024,6,DAL,4.94083531227811
2025-12-02,2024,7,LAC,4.632205704571007
2025-12-02,2024,8,NOP,4.261187217607871
2025-12-02,2024,9,MIN,3.7416287427138717
2025-12-02,2024,10,MIL,2.4297638504298322
2025-12-02,2024,11,PHX,2.186773260428844
2025-12-02,2024,12,LAL,1.544812312536154
2025-12-02,2024,13,IND,1.2516758223039164
2025-12-02,2024,14,CLE,0.42899818191538264
2025-12-02,2024,15,SAC,0.06682277307311318
2025-12-02,2024,16,ORL,-0.26141292056958315
2025-12-02,2024,17,GSW,-0.6142915203728951
2025-12-02,2024,18,HOU,-1.249872655717602
2025-12-02,2024,19,ATL,-1.2568773984926198
2025-12-02,2024,20,TOR,-2.0993656999222416
2025-12-02,2024,21,MIA,-2.113413512120146
2025-12-02,2024,22,CHI,-2.4734640040319835
2025-12-02,2024,23,UTA,-4.12966657312041
2025-12-02,2024,24,BKN,-4.88572027040411
2025-12-02,2024,25,SAS,-4.939016990288296
2025-12-02,2024,26,POR,-6.689344236783123
2025-12-02,2024,27,MEM,-6.820899678960578
2025-12-02,2024,28,WAS,-7.445152877860129
2025-12-02,2024,29,DET,-7.6160855203748765
2025-12-02,2024,30,CHA,-8.7928637844303
