date,season,rank,team,rating
2025-12-02,2025,1,OKC,11.06233521021705
2025-12-02,2025,2,CLE,10.022509407337829
2025-12-02,2025,3,LAL,7.384790041336774
2025-12-02,2025,4,BOS,6.264170832119327
2025-12-02,2025,5,DEN,5.5167312246850635
2025-12-02,2025,6,MIN,4.763003520792503
2025-12-02,2025,7,LAC,4.176774616254075
2025-12-02,2025,8,MEM,3.32055428672821
2025-12-02,2025,9,NYK,2.837910173419983
2025-12-02,2025,10,HOU,2.808872564954348
2025-12-02,2025,11,GSW,2.6364152402233154
2025-12-02,2025,12,IND,2.139341258168407
2025-12-02,2025,13,DET,1.5043146311476698
2025-12-02,2025,14,MIL,1.3793431942658076
2025-12-02,2025,15,ORL,0.3332304584452852
2025-12-02,2025,16,SAC,0.29989814092577194
2025-12-02,2025,17,SAS,-1.2208906440441567
2025-12-02,2025,18,DAL,-1.8911267499764888
2025-12-02,2025,19,ATL,-1.9365483507139674
2025-12-02,2025,20,MIA,-2.583406141644937
2025-12-02,2025,21,PHX,-2.64525212927489
2025-12-02,2025,22,CHI,-3.012325167406037
2025-12-02,2025,23,CHA,-4.711915794892196
2025-12-02,2025,24,UTA,-5.012569004217119
2025-12-02,2025,25,TOR,-5.195387079053561
2025-12-02,2025,26,POR,-5.221070300000481
2025-12-02,2025,27,BKN,-5.848245790207744
2025-12-02,2025,28,PHI,-5.9095542995049035
2025-12-02,2025,29,NOP,-10.602767467548238
2025-12-02,2025,30,WAS,-10.659135882536697
