date,season,rank,team,rating
2025-12-12,2026,1,OKC,10.44942032705467
2025-12-12,2026,2,HOU,9.78385197074098
2025-12-12,2026,3,DEN,9.628569479661447
2025-12-12,2026,4,SAS,7.2844321739241025
2025-12-12,2026,5,NYK,5.535872275666701
2025-12-12,2026,6,CLE,4.9910370251286995
2025-12-12,2026,7,MIA,4.5971809126516785
2025-12-12,2026,8,ORL,4.5360404019954705
2025-12-12,2026,9,LAL,3.7331283806797386
2025-12-12,2026,10,BOS,3.708913908204198
2025-12-12,2026,11,MIN,2.424474947989262
2025-12-12,2026,12,TOR,2.33257834315992
2025-12-12,2026,13,DET,2.252592697371943
2025-12-12,2026,14,PHX,2.192895694100826
2025-12-12,2026,15,GSW,1.390190308461072
2025-12-12,2026,16,PHI,0.5537995979254767
2025-12-12,2026,17,POR,0.06811844704749431
2025-12-12,2026,18,MIL,0.06278274271440992
2025-12-12,2026,19,LAC,-0.5970701946436451
2025-12-12,2026,20,ATL,-2.026833923499414
2025-12-12,2026,21,MEM,-3.2463688764450978
2025-12-12,2026,22,CHI,-3.973828919973755
2025-12-12,2026,23,CHA,-5.529689355633968
2025-12-12,2026,24,DAL,-5.753820330095185
2025-12-12,2026,25,SAC,-6.140026757403881
2025-12-12,2026,26,UTA,-6.394463006875184
2025-12-12,2026,27,NOP,-8.761970783349133
2025-12-12,2026,28,IND,-8.812699422040126
2025-12-12,2026,29,BKN,-10.037810929931359
2025-12-12,2026,30,WAS,-14.251297134587336
