date,season,rank,team,rating
2025-12-19,2026,1,DEN,13.243793439499825
2025-12-19,2026,2,OKC,12.160407269266685
2025-12-19,2026,3,HOU,8.583686337027567
2025-12-19,2026,4,NYK,7.038558009710998
2025-12-19,2026,5,SAS,5.769361374971984
2025-12-19,2026,6,ORL,5.222853838161995
2025-12-19,2026,7,LAL,4.896709126873443
2025-12-19,2026,8,CLE,4.733153195606899
2025-12-19,2026,9,BOS,4.445637373947377
2025-12-19,2026,10,MIN,3.3264659408719854
2025-12-19,2026,11,PHX,2.641239340475378
2025-12-19,2026,12,MIA,2.28100769700319
2025-12-19,2026,13,TOR,2.221580493643997
2025-12-19,2026,14,DET,2.028676864975925
2025-12-19,2026,15,GSW,1.1911683529172752
2025-12-19,2026,16,PHI,-0.15414523944747738
2025-12-19,2026,17,POR,-0.7662699933614702
2025-12-19,2026,18,ATL,-1.3384512687379524
2025-12-19,2026,19,LAC,-1.4494195012250817
2025-12-19,2026,20,MEM,-1.472547453481402
2025-12-19,2026,21,MIL,-2.7322835540068513
2025-12-19,2026,22,DAL,-5.711440331573035
2025-12-19,2026,23,CHA,-5.985826670432708
2025-12-19,2026,24,NOP,-6.108498761534145
2025-12-19,2026,25,CHI,-6.539247028161105
2025-12-19,2026,26,BKN,-7.477685160395318
2025-12-19,2026,27,UTA,-7.744386021151078
2025-12-19,2026,28,SAC,-7.770598851823002
2025-12-19,2026,29,IND,-9.556193389500024
2025-12-19,2026,30,WAS,-14.977305430123868
