date,season,rank,team,rating
2025-12-08,2026,1,OKC,12.731609830238902
2025-12-08,2026,2,HOU,10.478334026958443
2025-12-08,2026,3,DEN,7.638542323451758
2025-12-08,2026,4,SAS,7.544617078257195
2025-12-08,2026,5,NYK,7.43682713684906
2025-12-08,2026,6,ORL,6.029276634701798
2025-12-08,2026,7,BOS,5.314003993808726
2025-12-08,2026,8,CLE,4.568448859952674
2025-12-08,2026,9,MIA,4.181771150264744
2025-12-08,2026,10,LAL,3.6692865376343464
2025-12-08,2026,11,PHX,3.6529991563991033
2025-12-08,2026,12,DET,3.4459817305280565
2025-12-08,2026,13,MIN,3.3137611434381977
2025-12-08,2026,14,GSW,2.3992810005126497
2025-12-08,2026,15,TOR,2.225454380700351
2025-12-08,2026,16,LAC,0.3334556040769881
2025-12-08,2026,17,POR,-1.0445891881853993
2025-12-08,2026,18,MEM,-1.2542445586271485
2025-12-08,2026,19,PHI,-1.4046112569398417
2025-12-08,2026,20,ATL,-1.702765483520112
2025-12-08,2026,21,MIL,-3.8784664014904795
2025-12-08,2026,22,BKN,-5.125780239092994
2025-12-08,2026,23,CHI,-6.788229075872142
2025-12-08,2026,24,DAL,-7.255601391222746
2025-12-08,2026,25,UTA,-7.494298927967533
2025-12-08,2026,26,CHA,-7.74697259143323
2025-12-08,2026,27,SAC,-7.758422655989461
2025-12-08,2026,28,NOP,-8.425013171498497
2025-12-08,2026,29,IND,-8.999750911156598
2025-12-08,2026,30,WAS,-16.08490473477681
