game_id,date,team_id,side,home_indicator,days_rest_team,days_rest_opp,rest_diff,back_to_back,orb_pct_approx,possessions_est_r10,pace_est_r10,tov_pct_r10,orb_pct_r10,ortg_r10,drtg_r10,netrtg_r10,efg_r10,ts_r10,ftr_r10,opp_ftr_r10,possessions_est_r30,pace_est_r30,tov_pct_r30,orb_pct_r30,ortg_r30,drtg_r30,netrtg_r30,efg_r30,ts_r30,ftr_r30,opp_ftr_r30
18447178,2025-12-18,OKC,home,1,5,3,2,False,False,101.61999999999999,101.61999999999999,0.11591283229870686,0.17555185776132692,124.07709327065083,103.86439173697318,20.212701533677652,0.618771588853978,0.6526162652349106,0.2994411252568507,0.26961877542652923,102.91538461538461,102.91538461538461,0.11851231008341839,0.21542588972522211,119.7877866342002,102.88443318094991,16.90335345325029,0.5789196004694193,0.619137201652304,0.2803319572463191,0.2722456674520174
18447178,2025-12-18,LAC,away,0,3,5,-2,False,False,99.468,99.468,0.14323916241954585,0.2279751068594132,110.48196636896384,118.08562920576226,-7.603662836798432,0.5339273920498446,0.5808656710575344,0.29490047673251574,0.25288027266347457,99.4923076923077,99.4923076923077,0.14766339484623708,0.237372082388232,112.00364446473365,117.86930984332251,-5.865665378588872,0.5452892780957024,0.589342778530951,0.284081787143067,0.2622048632715315
18447179,2025-12-18,SAS,home,1,2,4,-2,False,False,103.56800000000001,103.56800000000001,0.11096940346618586,0.2651548749838314,117.32414921557422,117.0965920380753,0.22755717749894303,0.5384938490006899,0.5800957935901956,0.2945887908286025,0.26158761294181954,102.26769230769229,102.26769230769229,0.13622292382758494,0.2690375546769915,116.89065734681,112.55490007513988,4.335757271670135,0.5592636240597713,0.5989594278619791,0.30373707239878045,0.2568638512582177
18447179,2025-12-18,WAS,away,0,4,2,2,False,False,102.11600000000001,102.11600000000001,0.14770913173629474,0.24921963965259364,110.57126364105454,121.12363407552421,-10.552370434469667,0.5409356826976699,0.5745655310414095,0.27450642378955525,0.24723839607935333,104.28500000000001,104.28500000000001,0.15351945619674534,0.23750629840743018,108.1407856615286,122.01008304813804,-13.86929738660948,0.5371003113097044,0.5684363359674314,0.2520545672156792,0.2772427646343932
18447180,2025-12-18,CHA,home,1,4,4,0,False,False,103.52399999999997,103.52399999999997,0.13784801866966964,0.2298353736440412,108.30142480373861,112.77106372906883,-4.4696389253302184,0.528954701636492,0.5681998707280517,0.2529643024594886,0.21559292905077737,103.00461538461538,103.00461538461538,0.14491450517018956,0.2722285740789785,111.49518910168915,116.37438645399635,-4.879197352307194,0.5357374709637118,0.5775722267046683,0.27197045151351973,0.2300601800889209
18447180,2025-12-18,ATL,away,0,4,4,0,False,False,105.46399999999998,105.46399999999998,0.1381761940100502,0.25805314706306504,112.57823131248938,116.13305770350334,-3.5548263910139797,0.5479373868671199,0.5790863727094884,0.22005969613346035,0.2798690578556383,103.5185185185185,103.5185185185185,0.1376646054307461,0.23556585466144728,114.03540009886773,113.05742837129826,0.9779717275694547,0.5608172686760692,0.5936477904903592,0.2516293861618229,0.28092707482711393
18447181,2025-12-18,IND,home,1,4,2,2,False,False,99.464,99.464,0.12109801482321787,0.19585355459051337,110.86651848968802,111.68013189689097,-0.8136134072029648,0.5392361507620207,0.5750831509658079,0.27279565412650336,0.3246076495859613,102.97692307692309,102.97692307692309,0.12722522145278486,0.24496232901064266,107.0844805795896,114.74979836783443,-7.665317788244849,0.49958047473726924,0.5433280442659398,0.29410980280845783,0.3397818255718222
18447181,2025-12-18,NYK,away,0,2,4,-2,False,False,97.46400000000001,97.46400000000001,0.12426711658177896,0.3263740677529653,125.4426673671552,108.21580615696674,17.22686121018848,0.5859267937944408,0.6171318728928843,0.2638286713286713,0.2559472489473837,99.99846153846154,99.99846153846154,0.12513993946529506,0.3096321668969007,121.21729026524193,110.98192771509746,10.235362550144465,0.5636732602916257,0.598173620612153,0.2607235762674192,0.2722989879919232
18447182,2025-12-18,BKN,home,1,4,3,1,False,False,99.56400000000001,99.56400000000001,0.15969753467805642,0.252788111836325,111.15168007331093,110.55277578628474,0.5989042870261769,0.5493914697622435,0.589383136141125,0.27861462521538194,0.24536932541500311,99.92960000000001,99.92960000000001,0.14806364461348742,0.2477506108726243,110.29568646993727,116.65181601921691,-6.356129549279644,0.5337241584503473,0.5754013251607338,0.2951196087219867,0.27845770371010675
18447182,2025-12-18,MIA,away,0,3,4,-1,False,False,103.636,103.636,0.1274720471996666,0.23358988823498966,109.98596805027094,110.3121756433814,-0.32620759311047465,0.5266581573558892,0.5625279864375413,0.2733515452765868,0.20228145089197747,106.98923076923077,106.98923076923077,0.1287872235189787,0.2243934191653974,112.63342985095497,109.62253391680707,3.0108959341479027,0.5449833711702401,0.5822026068280252,0.2788359200162861,0.2402771072921251
18447183,2025-12-18,MIL,home,1,4,3,1,False,False,97.61999999999999,97.61999999999999,0.1506673559941999,0.20182584276414084,110.95026863745083,115.2421973055928,-4.291928668141947,0.5695009823177667,0.5954210845952217,0.2533224310337083,0.27902417933706014,100.76888888888887,100.76888888888887,0.14130083134387084,0.19453468571622445,113.03038888009884,115.67724482563064,-2.6468559455318417,0.5803452638596136,0.6023965680520168,0.24355709707180184,0.30634183978922364
