game_id,date,team_id,side,home_indicator,days_rest_team,days_rest_opp,rest_diff,back_to_back,orb_pct_approx,possessions_est_r10,pace_est_r10,tov_pct_r10,orb_pct_r10,ortg_r10,drtg_r10,netrtg_r10,efg_r10,ts_r10,ftr_r10,opp_ftr_r10,possessions_est_r30,pace_est_r30,tov_pct_r30,orb_pct_r30,ortg_r30,drtg_r30,netrtg_r30,efg_r30,ts_r30,ftr_r30,opp_ftr_r30
18447102,2025-11-29,MIN,home,1,3,3,0,False,False,105.104,105.104,0.1375009449863834,0.27602579736500177,114.79003432533065,105.97006869644557,8.819965628885097,0.546571330184287,0.5859581374926702,0.3266510063858669,0.3233941380035725,102.81111111111112,102.81111111111112,0.14300977378042692,0.2630542646429386,115.65729631814172,110.97721165865464,4.680084659487063,0.5618841587839765,0.5982659790712619,0.3138121280546898,0.31771624566034407
18447102,2025-11-29,BOS,away,0,3,3,0,False,False,97.224,97.224,0.11100257984150215,0.2935819874795862,121.71058041988655,112.82665604805554,8.883924371831021,0.5684031795696028,0.5949020395701459,0.2204458026488966,0.3208512875683463,98.28,98.28,0.11028159539540654,0.2887854333350956,116.97499358124047,111.77797438528762,5.197019195952858,0.5438333805814031,0.5719387569611538,0.20960603687054477,0.3318001820569127
18447103,2025-11-29,CHA,home,1,1,3,-2,True,False,102.064,102.064,0.14021322608797146,0.27750787539986144,110.56923155683396,120.06263420161687,-9.493402644782911,0.5234030624759923,0.5670687510389694,0.26112988542225885,0.20467608560819633,102.98947368421052,102.98947368421052,0.1479890285018092,0.28795513848270904,112.35699508657791,118.5858635463828,-6.228868459804905,0.5365091620416322,0.5797518762860356,0.27915381452001864,0.2322205573254795
18447103,2025-11-29,TOR,away,0,3,1,2,False,False,101.75999999999999,101.75999999999999,0.12265118576785723,0.2466579846460874,117.1945942500987,107.05906204953325,10.135532200565423,0.564069631148983,0.6011091023001293,0.3044426905550711,0.2971211829296566,102.66315789473684,102.66315789473684,0.1283778948433115,0.23728910768522748,116.1411511845148,110.0372671596206,6.103884024894183,0.5637986765050087,0.6000198889563899,0.2942967329111176,0.3166448563687353
18447104,2025-11-29,IND,home,1,1,1,0,True,False,102.64000000000001,102.64000000000001,0.1409829714658905,0.24193748286204828,107.1798966028953,115.87250382894824,-8.69260722605296,0.5083977909845718,0.5546524487302367,0.3002408207158993,0.3429753790209313,104.71368421052632,104.71368421052632,0.13193223635267404,0.2563262849056807,105.2458408071313,114.13056380474644,-8.884722997615157,0.4875384714688358,0.5329978643579604,0.3036688747786429,0.3456222314515364
18447104,2025-11-29,CHI,away,0,1,1,0,True,False,109.228,109.228,0.1304452263003075,0.2164370349619568,112.19660020832866,119.17985319636891,-6.9832529880402205,0.5416672235346586,0.5823125758525693,0.2837409371871251,0.29267882348078916,106.40888888888888,106.40888888888888,0.13547422399437248,0.2309451925619371,113.84732727599729,116.09620636000633,-2.2488790840090385,0.5546627267491453,0.5917632982537545,0.2732294020563694,0.27831651392993834
18447105,2025-11-29,MIA,home,1,3,1,2,False,False,109.16399999999999,109.16399999999999,0.12481680462682458,0.26324701475836304,112.6067714558191,108.00971638004853,4.597055075770562,0.5280560277904139,0.5685794554725877,0.2925841876304589,0.2296083252753046,108.10105263157895,108.10105263157895,0.12965207282003016,0.22863391061393273,113.57046076063038,108.16119615532223,5.40926460530818,0.5494713557029984,0.5871025821070041,0.27962916753791534,0.2489781424398297
18447105,2025-11-29,DET,away,0,1,3,-2,True,False,103.40800000000002,103.40800000000002,0.1487209518572017,0.29132800442820733,116.79028062374307,110.37485069375244,6.415429929990621,0.5636280385683164,0.6009075362802798,0.31826053084830813,0.29706439500735055,103.15368421052631,103.15368421052631,0.142385265680517,0.30105850240139337,115.28281150467421,109.06246634628832,6.220345158385912,0.5485755289321272,0.5853162747562823,0.3203662359472582,0.3369921307824281
18447106,2025-11-29,MIL,home,1,1,1,0,True,False,101.464,101.464,0.14266609039034922,0.17264416618408215,109.20743518705493,117.17177015171953,-7.964334964664623,0.5675644169495555,0.5890081728095632,0.2135511312818552,0.33865465507012116,101.93200000000002,101.93200000000002,0.13644647648622873,0.18916716036451722,113.23827602345652,116.03995882524546,-2.8016828017889353,0.581718916377297,0.6016282076737582,0.2375800366645966,0.3263430330214992
18447106,2025-11-29,BKN,away,0,1,1,0,True,False,98.104,98.104,0.14417127389838952,0.2295792134855056,108.48390741763319,117.89929322670037,-9.415385809067214,0.5197293717753743,0.567993319782856,0.3261978531199567,0.26847607676160223,99.83333333333333,99.83333333333333,0.14345778979274318,0.25136697233321903,109.10440668666091,120.43041026112321,-11.3260035744623,0.5184498129711519,0.5635268000113159,0.31293881847945154,0.2910750594557983
